camera;imagem;ponto;X_mm;Y_mm;Z_mm;u_px;v_px;erro_reprojecao_px
leftcamera;Im_L_1.png;origem;0;0;0;161.1444;123.53267;0.15771554
leftcamera;Im_L_1.png;canto_dir;250.0;0;0;557.8913;130.79199;0.15771554
leftcamera;Im_L_1.png;canto_baixo;0;150.0;0;150.91129;366.0358;0.15771554
leftcamera;Im_L_1.png;canto_dir_baixo;250.0;150.0;0;553.1378;375.0513;0.15771554
leftcamera;Im_L_1.png;ponto_alto;125.0;75.0;-50;333.01465;239.6887;0.15771554
leftcamera;Im_L_10.png;origem;0;0;0;171.878;103.20317;0.1819473
leftcamera;Im_L_10.png;canto_dir;250.0;0;0;574.6693;80.42704;0.1819473
leftcamera;Im_L_10.png;canto_baixo;0;150.0;0;161.90994;348.3475;0.1819473
leftcamera;Im_L_10.png;canto_dir_baixo;250.0;150.0;0;591.8056;324.5461;0.1819473
leftcamera;Im_L_10.png;ponto_alto;125.0;75.0;-50;354.5685;182.8628;0.1819473
leftcamera;Im_L_11.png;origem;0;0;0;155.83206;84.935745;0.15508902
leftcamera;Im_L_11.png;canto_dir;250.0;0;0;573.8972;102.34498;0.15508902
leftcamera;Im_L_11.png;canto_baixo;0;150.0;0;154.60881;336.97717;0.15508902
leftcamera;Im_L_11.png;canto_dir_baixo;250.0;150.0;0;561.3705;356.48413;0.15508902
leftcamera;Im_L_11.png;ponto_alto;125.0;75.0;-50;337.28552;221.52617;0.15508902
leftcamera;Im_L_12.png;origem;0;0;0;122.50745;166.17102;0.14615779
leftcamera;Im_L_12.png;canto_dir;250.0;0;0;543.1039;159.83905;0.14615779
leftcamera;Im_L_12.png;canto_baixo;0;150.0;0;128.45485;423.1218;0.14615779
leftcamera;Im_L_12.png;canto_dir_baixo;250.0;150.0;0;548.71027;409.44327;0.14615779
leftcamera;Im_L_12.png;ponto_alto;125.0;75.0;-50;319.35306;290.221;0.14615779
leftcamera;Im_L_13.png;origem;0;0;0;191.36758;163.14886;0.18749551
leftcamera;Im_L_13.png;canto_dir;250.0;0;0;606.8152;207.17374;0.18749551
leftcamera;Im_L_13.png;canto_baixo;0;150.0;0;163.22632;421.06522;0.18749551
leftcamera;Im_L_13.png;canto_dir_baixo;250.0;150.0;0;585.4148;454.58783;0.18749551
leftcamera;Im_L_13.png;ponto_alto;125.0;75.0;-50;381.65463;311.26852;0.18749551
leftcamera;Im_L_14.png;origem;0;0;0;142.32942;156.31331;0.15010688
leftcamera;Im_L_14.png;canto_dir;250.0;0;0;578.4373;181.12303;0.15010688
leftcamera;Im_L_14.png;canto_baixo;0;150.0;0;129.81471;430.62878;0.15010688
