camera;imagem;ponto;X_mm;Y_mm;Z_mm;u_px;v_px;erro_reprojecao_px
rightcamera;Im_R_1.png;origem;0;0;0;372.64764;104.19807;0.1891791
rightcamera;Im_R_1.png;canto_dir;250.0;0;0;774.66205;112.15648;0.1891791
rightcamera;Im_R_1.png;canto_baixo;0;150.0;0;369.19315;351.56903;0.1891791
rightcamera;Im_R_1.png;canto_dir_baixo;250.0;150.0;0;772.2142;355.90863;0.1891791
rightcamera;Im_R_1.png;ponto_alto;125.0;75.0;-50;583.6185;222.39595;0.1891791
rightcamera;Im_R_10.png;origem;0;0;0;388.06506;83.34083;0.21096458
rightcamera;Im_R_10.png;canto_dir;250.0;0;0;794.1474;61.52258;0.21096458
rightcamera;Im_R_10.png;canto_baixo;0;150.0;0;398.35007;332.95578;0.21096458
rightcamera;Im_R_10.png;canto_dir_baixo;250.0;150.0;0;826.52954;305.11243;0.21096458
rightcamera;Im_R_10.png;ponto_alto;125.0;75.0;-50;617.1074;164.2506;0.21096458
rightcamera;Im_R_11.png;origem;0;0;0;380.3323;63.809624;0.21394187
rightcamera;Im_R_11.png;canto_dir;250.0;0;0;805.0346;83.24463;0.21394187
rightcamera;Im_R_11.png;canto_baixo;0;150.0;0;375.73148;321.9961;0.21394187
rightcamera;Im_R_11.png;canto_dir_baixo;250.0;150.0;0;783.69934;337.11823;0.21394187
rightcamera;Im_R_11.png;ponto_alto;125.0;75.0;-50;598.83545;204.15782;0.21394187
rightcamera;Im_R_12.png;origem;0;0;0;349.56372;147.71304;0.17356801
rightcamera;Im_R_12.png;canto_dir;250.0;0;0;766.5166;141.11374;0.17356801
rightcamera;Im_R_12.png;canto_baixo;0;150.0;0;359.44638;409.58548;0.17356801
rightcamera;Im_R_12.png;canto_dir_baixo;250.0;150.0;0;771.2318;389.6581;0.17356801
rightcamera;Im_R_12.png;ponto_alto;125.0;75.0;-50;582.94006;272.73248;0.17356801
